,id,seglen_hor,seglen_ver,segdist_hor,segdist_ver,cross_deg,segdeg_hor,segdeg_ver,dist_hor,dist_ver
80,80,0.0935098,0.627233,0.47196275,0.08629677,1.4946902,0.035102006,1.5297922,0.11659368,0.14048368
81,81,0.0935098,0.5180801,0.2048759,0.030060692,1.5046222,0.035102006,1.5397242,0.113532424,0.1765306
82,82,0.034988675,0.627233,0.27141842,0.072431356,1.5043383,0.025453927,1.5297922,0.11701994,0.1543374
83,83,0.034988675,0.5180801,0.46338156,0.02612928,1.5142703,0.025453927,1.5397242,0.11344075,0.18046016
84,84,0.05,0.627233,0.0580749,0.0755169,1.5297922,0.0,1.5297922,0.1169251,0.15125448
85,85,0.14672875,0.627233,0.11703893,0.07406135,1.4872904,0.04250183,1.5297922,0.11696983,0.15270883
86,86,0.14669731,0.5180801,0.03715904,0.07247578,1.5640676,0.024343327,1.5397242,0.11452079,0.13413602
87,87,0.033333335,0.627233,0.035159517,0.08911082,1.5297922,0.0,1.5297922,0.11650715,0.137672
88,88,0.03835374,0.627233,0.09860852,0.083230495,1.5396248,0.07217578,1.5297922,0.11668792,0.14354736
89,89,0.0482748,0.627233,0.35662687,0.11955905,1.4805773,0.049214844,1.5297922,0.11557106,0.10724932
90,90,0.0482748,0.5180801,0.3664934,0.04875264,1.4905094,0.049214844,1.5397242,0.113967896,0.1578477
91,91,0.0433245,0.5180801,0.18527162,0.08354103,1.5598983,0.020174077,1.5397242,0.11477864,0.12307608
92,92,0.12494989,0.627233,0.39594623,0.11437789,1.519918,0.0098742535,1.5297922,0.11573036,0.11242616
93,93,0.12494989,0.5180801,0.24862038,0.08406007,1.52985,0.0098742535,1.5397242,0.11479068,0.12255728
94,94,0.03503886,0.5180801,0.18579265,0.07088348,1.4854075,0.05431679,1.5397242,0.114483654,0.13572752
95,95,0.044962298,0.627233,0.23939244,0.11707398,1.5116327,0.018159477,1.5297922,0.115647405,0.10973233
96,96,0.044962298,0.5180801,0.48546967,0.07824374,1.5215647,0.018159477,1.5397242,0.11465514,0.12837082
97,97,0.03503368,0.627233,0.30568346,0.08407621,1.545712,0.06608852,1.5297922,0.116661936,0.14270234
98,98,0.03503368,0.5180801,0.42840007,0.13166179,1.53578,0.06608852,1.5397242,0.11589986,0.07497859
99,99,0.041661058,0.627233,0.030684894,0.1157389,1.5462111,0.016418967,1.5297922,0.11568847,0.11106628
100,100,0.1685348,0.627233,0.49764287,0.08134103,1.5498899,0.06191063,1.5297922,0.11674596,0.14543527
101,101,0.1685348,0.5180801,0.102813445,0.12463922,1.5399579,0.06191063,1.5397242,0.11573619,0.08199775
102,102,0.20511381,0.627233,0.030307652,0.14001413,1.4662728,0.06351934,1.5297922,0.114942156,0.08681148
103,103,0.0617367,0.627233,0.27059335,0.1542838,1.5012233,0.028568894,1.5297922,0.11450343,0.072553754
104,104,0.0617367,0.5180801,0.43820876,0.104726315,1.5111554,0.028568894,1.5397242,0.115272224,0.101901054
105,105,0.053261314,0.627233,0.008931916,0.15689273,1.500399,0.029393246,1.5297922,0.11442323,0.069947064
106,106,0.03349181,0.627233,0.09173203,0.17270878,1.4085846,0.12120763,1.5297922,0.11393697,0.054144263
107,107,0.041691005,0.5180801,0.22720365,0.14291899,1.5589513,0.019227017,1.5397242,0.11616212,0.06372678
108,108,0.034955446,0.627233,0.38366,0.18525793,1.4793249,0.050467256,1.5297922,0.113551155,0.04160571
109,109,0.034955446,0.5180801,0.35334894,0.113102555,1.489257,0.050467256,1.5397242,0.11546731,0.09352887
110,110,0.033333335,0.627233,0.32741278,0.16239998,1.5297922,0.0,1.5297922,0.11425389,0.06444442
111,111,0.033333335,0.5180801,0.40885457,0.142201,1.5397242,0.0,1.5397242,0.11614543,0.06444442
112,112,0.06202155,0.627233,0.39443514,0.11751244,1.5161037,0.09569679,1.5297922,0.11563398,0.109294236
113,113,0.06202155,0.5180801,0.31404653,0.19553988,1.5061717,0.09569679,1.5397242,0.11738819,0.011131346
114,114,0.043328658,0.627233,0.015970731,0.17014687,1.5444721,0.014679892,1.5297922,0.11401573,0.056704044
115,115,0.045,0.5180801,0.13864736,0.1510942,1.5397242,0.0,1.5397242,0.11635262,0.055555582
116,116,0.034997534,0.627233,0.0021027839,0.1781114,1.5179212,0.011871002,1.5297922,0.113770865,0.04874623
117,117,0.04336527,0.627233,0.32755333,0.16049847,1.565871,0.036078848,1.5297922,0.11431239,0.06634432
118,118,0.04336527,0.5180801,0.3983061,0.1773137,1.5657897,0.036078848,1.5397242,0.116963506,0.029348671
119,119,0.03666451,0.627233,0.08682217,0.1971892,1.5189271,0.010865113,1.5297922,0.11318433,0.029684424
120,120,0.03335255,0.5180801,0.18476328,0.17455725,1.5529997,0.013275515,1.5397242,0.11689931,0.032103837
121,121,0.18168056,0.5180801,0.062001545,0.17825669,1.5399305,0.00020624744,1.5397242,0.1169855,0.028406143
122,122,0.051905394,0.627233,0.07296894,0.2167394,1.4232056,0.106586635,1.5297922,0.112583265,0.010150671
123,123,0.054960098,0.627233,0.25995523,0.18448728,1.5678872,0.03809504,1.5297922,0.113574855,0.042375684
124,124,0.054960098,0.5180801,0.45449743,0.20337094,1.5637735,0.03809504,1.5397242,0.11757058,0.0033040643
125,125,0.03503883,0.627233,0.0501312,0.19471589,1.5705137,0.040721595,1.5297922,0.11326037,0.032155693
126,126,0.15023358,0.627233,0.007950275,0.20505035,1.5619903,0.049810283,1.5297922,0.11294264,0.021829903
127,127,0.036817696,0.5180801,0.21094571,0.16618693,1.445773,0.09395117,1.5397242,0.116704285,0.040470123
128,128,0.055018153,0.627233,0.1855561,0.20970705,1.5440137,0.014221601,1.5297922,0.112799466,0.017177105
