id,posnum,seglen_hor,seglen_ver,segdist_hor,segdist_ver,segdeg_hor,segdeg_ver,cross_deg,dist_hor,dist_ver
0,0,0.6386297,0.11664711,0.01567217,0.010053873,0.14432923,1.5338271,1.4634365,0.1799576,0.04999851
1,0,0.6386297,0.40699777,0.0026544852,0.06201627,0.14432923,1.5324562,1.388127,0.1618215,0.04802159
2,0,0.6386297,0.41871792,0.009352512,0.12902866,0.14432923,1.5334902,1.389161,0.17370364,0.0493168
3,0,0.6313891,0.11664711,0.010853126,0.004207021,0.15660161,1.5338271,1.451164,0.17966945,0.05584137
4,0,0.6313891,0.40699777,0.006918703,0.056271065,0.15660161,1.5324562,1.3758545,0.16211511,0.05376257
5,0,0.6313891,0.41871792,0.005108269,0.12317201,0.15660161,1.5334902,1.3768885,0.1739949,0.055169385
6,0,0.08048852,0.11664711,0.028819457,0.024050826,0.101941235,1.5338271,1.5058244,0.17827688,0.08407991
7,0,0.08048852,0.40699777,0.04356474,0.02705767,0.101941235,1.5324562,1.4305149,0.16360815,0.082954496
8,0,0.08048852,0.41871792,0.031688508,0.09446048,0.101941235,1.5334902,1.431549,0.17542271,0.083860934
9,0,0.069755554,0.11664711,0.32252532,0.027999284,0.13389198,1.5338271,1.4738737,0.17808224,0.08802567
10,0,0.069755554,0.40699777,0.33694288,0.023427308,0.13389198,1.5324562,1.3985642,0.16379374,0.08658219
11,0,0.069755554,0.41871792,0.32501224,0.09054202,0.13389198,1.5334902,1.3995982,0.17561758,0.087776676
12,0,0.1050164,0.11664711,0.2595796,0.048955426,0.08778926,1.5338271,1.5199764,0.17704953,0.10896749
13,0,0.1050164,0.40699777,0.27177852,0.0018283037,0.08778926,1.5324562,1.4446669,0.16489756,0.108165324
14,0,0.1050164,0.41871792,0.25995967,0.06936146,0.08778926,1.5334902,1.4457009,0.17667091,0.10894249
15,0,0.044665832,0.11664711,0.08278503,0.08474862,0.09603374,1.5338271,1.511732,0.17528561,0.14473623
16,0,0.044665832,0.40699777,0.09137383,0.03415138,0.09603374,1.5324562,1.4364225,0.16673638,0.14411856
17,0,0.044665832,0.41871792,0.079592355,0.033313036,0.09603374,1.5334902,1.4374565,0.17846358,0.14496583
18,0,0.084428124,0.11664711,0.021336522,0.106226526,0.0196622,1.5338271,1.5534892,0.17422716,0.16619946
19,0,0.084428124,0.40699777,0.027703991,0.05615455,0.0196622,1.5324562,1.512794,0.16786093,0.16610557
20,0,0.084428124,0.41871792,0.016038492,0.011986451,0.0196622,1.5334902,1.513828,0.17952417,0.16627759
21,0,0.053341646,0.11664711,0.03669032,0.099119246,0.079360664,1.5338271,1.528405,0.17457741,0.15909703
22,0,0.053341646,0.40699777,0.043809317,0.04871728,0.079360664,1.5324562,1.4530954,0.16748083,0.15867376
23,0,0.053341646,0.41871792,0.03207272,0.018897247,0.079360664,1.5334902,1.4541295,0.17918049,0.1593716
